name,artist,album,id,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,genre
Ich mach' weiter...,Peter Kraus,Ich mach weiter...,0gk0cl7tGz2BmjQSor0zsr,0,0.673,0.935,11,-4.447,1,0.0353,0.0179,0.000977,0.378,0.628,127.929,audio_features,0gk0cl7tGz2BmjQSor0zsr,spotify:track:0gk0cl7tGz2BmjQSor0zsr,https://api.spotify.com/v1/tracks/0gk0cl7tGz2BmjQSor0zsr,https://api.spotify.com/v1/audio-analysis/0gk0cl7tGz2BmjQSor0zsr,247760,4,country
Meher Baba M3,Pete Townshend,Psychoderelict,7tSunmRkEOvDxL6fIhZSuE,4,0.418,0.573,5,-16.223,1,0.0912,0.692,0.00183,0.724,0.358,115.726,audio_features,7tSunmRkEOvDxL6fIhZSuE,spotify:track:7tSunmRkEOvDxL6fIhZSuE,https://api.spotify.com/v1/tracks/7tSunmRkEOvDxL6fIhZSuE,https://api.spotify.com/v1/audio-analysis/7tSunmRkEOvDxL6fIhZSuE,211333,4,country
Juanita - 2008 Remaster,Emmylou Harris,Last Date,001JylntGYCuHdwEI9XWvy,6,0.269,0.338,2,-12.098,1,0.0306,0.419,3.03e-06,0.991,0.293,78.578,audio_features,001JylntGYCuHdwEI9XWvy,spotify:track:001JylntGYCuHdwEI9XWvy,https://api.spotify.com/v1/tracks/001JylntGYCuHdwEI9XWvy,https://api.spotify.com/v1/audio-analysis/001JylntGYCuHdwEI9XWvy,186573,3,country
Whatcha Drinkin 'Bout - The Montana Sessions,Stephanie Quayle,The Montana Sessions,0Gc0KPkfpCmje3qQlhekCr,9,0.799,0.803,5,-4.749,0,0.0371,0.197,0.0,0.38,0.62,105.033,audio_features,0Gc0KPkfpCmje3qQlhekCr,spotify:track:0Gc0KPkfpCmje3qQlhekCr,https://api.spotify.com/v1/tracks/0Gc0KPkfpCmje3qQlhekCr,https://api.spotify.com/v1/audio-analysis/0Gc0KPkfpCmje3qQlhekCr,176228,4,country
Song of Bernadette,Charlie Landsborough,My Heart Would Know + Heart and Soul,4T2C1A8duERE70BGQ8T6CY,0,0.498,0.175,0,-11.883,1,0.0306,0.811,0.000125,0.108,0.205,132.159,audio_features,4T2C1A8duERE70BGQ8T6CY,spotify:track:4T2C1A8duERE70BGQ8T6CY,https://api.spotify.com/v1/tracks/4T2C1A8duERE70BGQ8T6CY,https://api.spotify.com/v1/audio-analysis/4T2C1A8duERE70BGQ8T6CY,241240,4,country
The Sticks,The Cadillac Three,Kick It In The Sticks,2rMIG0FVunk7ZFgGEnekp9,1,0.281,0.739,0,-3.881,1,0.046,0.161,0.0,0.104,0.489,80.617,audio_features,2rMIG0FVunk7ZFgGEnekp9,spotify:track:2rMIG0FVunk7ZFgGEnekp9,https://api.spotify.com/v1/tracks/2rMIG0FVunk7ZFgGEnekp9,https://api.spotify.com/v1/audio-analysis/2rMIG0FVunk7ZFgGEnekp9,210413,4,country
The River's Too Wide,Celine Toner,You'll Remember Me!,5jYYzXDaESKLtKKBI2Pyg7,0,0.454,0.505,2,-11.019,1,0.0587,0.504,0.0,0.656,0.919,169.278,audio_features,5jYYzXDaESKLtKKBI2Pyg7,spotify:track:5jYYzXDaESKLtKKBI2Pyg7,https://api.spotify.com/v1/tracks/5jYYzXDaESKLtKKBI2Pyg7,https://api.spotify.com/v1/audio-analysis/5jYYzXDaESKLtKKBI2Pyg7,212053,4,country
Nightblind (Bonus Track),Tom Russell,Heart on a Sleeve (Remastered),3ffqFxZG1siO6JfTXppfLF,0,0.545,0.582,0,-10.804,1,0.0348,0.468,0.00029,0.325,0.47,124.227,audio_features,3ffqFxZG1siO6JfTXppfLF,spotify:track:3ffqFxZG1siO6JfTXppfLF,https://api.spotify.com/v1/tracks/3ffqFxZG1siO6JfTXppfLF,https://api.spotify.com/v1/audio-analysis/3ffqFxZG1siO6JfTXppfLF,210227,4,country
The Joy of Being a Woman,Tammy Wynette,We Sure Can Love Each Other,4MgW6jYIhEOZIVgO7go46i,1,0.319,0.264,10,-11.935,1,0.0284,0.703,2.71e-05,0.176,0.291,82.951,audio_features,4MgW6jYIhEOZIVgO7go46i,spotify:track:4MgW6jYIhEOZIVgO7go46i,https://api.spotify.com/v1/tracks/4MgW6jYIhEOZIVgO7go46i,https://api.spotify.com/v1/audio-analysis/4MgW6jYIhEOZIVgO7go46i,159000,4,country
You Pick Me Up (And Put Me Down),Dottie West,The Best Of Dottie West,3cfhZCGwA6e0uLrQqWmfDS,2,0.751,0.538,9,-6.612,1,0.0293,0.495,4.73e-06,0.13,0.541,117.552,audio_features,3cfhZCGwA6e0uLrQqWmfDS,spotify:track:3cfhZCGwA6e0uLrQqWmfDS,https://api.spotify.com/v1/tracks/3cfhZCGwA6e0uLrQqWmfDS,https://api.spotify.com/v1/audio-analysis/3cfhZCGwA6e0uLrQqWmfDS,164413,4,country
Your Adorable Beast,Bobby Bare Jr.,From the End of Your Leash,04P8NZ0U7h4RwiB0gzhdpF,9,0.538,0.49,7,-6.242,1,0.0471,0.112,0.0,0.271,0.508,120.401,audio_features,04P8NZ0U7h4RwiB0gzhdpF,spotify:track:04P8NZ0U7h4RwiB0gzhdpF,https://api.spotify.com/v1/tracks/04P8NZ0U7h4RwiB0gzhdpF,https://api.spotify.com/v1/audio-analysis/04P8NZ0U7h4RwiB0gzhdpF,200200,4,country
Tajná Láska,Waldemar Matuška,Sbohem Lásko... (Zlatá Kolekce),0Yd6lmm82t0fxKNWpbDKgm,3,0.538,0.546,5,-7.46,1,0.0249,0.303,0.00512,0.118,0.229,80.229,audio_features,0Yd6lmm82t0fxKNWpbDKgm,spotify:track:0Yd6lmm82t0fxKNWpbDKgm,https://api.spotify.com/v1/tracks/0Yd6lmm82t0fxKNWpbDKgm,https://api.spotify.com/v1/audio-analysis/0Yd6lmm82t0fxKNWpbDKgm,254387,4,country
